graph,temporal_edges,batch_size,order,size,time,iterations,error,technique
"email-Eu-core-temporal","332335","1","986","24774","2.69","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","986","24774","0.202","0","4.157e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","986","24928","2.803","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","986","24928","0.202","0","3.3497e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","559","1733","7.022","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","559","1733","2.362","0","0.000002195","pagerankDynamic"
"email-Eu-core-temporal","332335","5","624","2762","6.914","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","624","2762","0.2","0","1.138e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","653","3489","6.584","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","653","3489","1.817","0","0.0000017003","pagerankDynamic"
"email-Eu-core-temporal","332335","5","682","4129","6.679","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","682","4129","2.038","0","0.0000010592","pagerankDynamic"
"email-Eu-core-temporal","332335","5","696","4589","6.49","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","696","4589","1.599","0","0.0000020904","pagerankDynamic"
"email-Eu-core-temporal","332335","5","710","5130","5.399","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","710","5130","0.199","0","2.6796e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","722","5577","5.287","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","722","5577","0.199","0","2.473e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","733","6067","5.264","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","733","6067","1.915","0","0.0000016738","pagerankDynamic"
"email-Eu-core-temporal","332335","5","741","6512","6.351","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","741","6512","0.201","0","1.4453e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","751","6952","6.343","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","751","6952","0.202","0","3.6199e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","762","7437","6.386","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","762","7437","1.509","0","0.0000017506","pagerankDynamic"
"email-Eu-core-temporal","332335","5","775","8029","6.362","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","775","8029","3.338","0","2.0833e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","779","8418","3.131","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","779","8418","0.202","0","4.3408e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","781","8747","3.115","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","781","8747","1.72","0","0.0000015873","pagerankDynamic"
"email-Eu-core-temporal","332335","5","785","9031","3.121","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","785","9031","0.199","0","3.7122e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","789","9386","3.123","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","789","9386","1.392","0","0.0000013352","pagerankDynamic"
"email-Eu-core-temporal","332335","5","794","9710","3.021","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","794","9710","1.941","0","0.0000026317","pagerankDynamic"
"email-Eu-core-temporal","332335","5","795","10017","3.114","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","795","10017","0.202","0","3.8187e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","797","10276","3.218","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","797","10276","0.202","0","2.9977e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","802","10532","3.246","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","802","10532","1.385","0","0.000002463","pagerankDynamic"
"email-Eu-core-temporal","332335","5","805","10785","3.221","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","805","10785","1.602","0","0.0000022454","pagerankDynamic"
"email-Eu-core-temporal","332335","5","807","11028","3.221","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","807","11028","1.183","0","0.0000024363","pagerankDynamic"
"email-Eu-core-temporal","332335","5","808","11259","3.243","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","808","11259","0.201","0","4.3676e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","814","11501","3.846","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","814","11501","0.202","0","3.3271e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","816","11702","3.243","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","816","11702","1.503","0","0.0000015468","pagerankDynamic"
"email-Eu-core-temporal","332335","5","817","11935","3.016","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","817","11935","0.2","0","4.4503e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","817","12113","2.992","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","817","12113","0.201","0","4.4814e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","822","12365","3.123","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","822","12365","0.203","0","4.6214e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","825","12574","3.116","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","825","12574","0.199","0","3.2454e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","827","12761","3.112","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","827","12761","0.201","0","2.9372e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","831","12974","3.013","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","831","12974","1.173","0","7.3845e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","835","13223","3.002","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","835","13223","1.716","0","0.0000018311","pagerankDynamic"
"email-Eu-core-temporal","332335","5","836","13446","3.024","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","836","13446","0.201","0","3.4427e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","838","13630","3.025","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","838","13630","0.202","0","3.0917e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","840","13876","3.024","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","840","13876","1.497","0","0.0000015295","pagerankDynamic"
"email-Eu-core-temporal","332335","5","844","14104","3.005","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","844","14104","0.201","0","3.3036e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","845","14307","2.999","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","845","14307","1.28","0","3.9113e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","845","14465","3.014","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","845","14465","0.201","0","3.9108e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","847","14693","3.008","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","847","14693","0.2","0","3.7011e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","850","14927","2.916","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","850","14927","0.203","0","3.9919e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","850","15132","2.904","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","850","15132","1.184","0","0.0000014089","pagerankDynamic"
"email-Eu-core-temporal","332335","5","851","15329","2.891","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","851","15329","0.199","0","2.8862e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","852","15455","2.79","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","852","15455","0.35","0","4.3544e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","855","15570","2.791","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","855","15570","0.201","0","4.1556e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","857","15704","2.789","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","857","15704","0.201","0","4.5485e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","857","15868","2.78","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","857","15868","0.201","0","3.7855e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","859","16031","2.792","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","859","16031","1.386","0","0.0000012835","pagerankDynamic"
"email-Eu-core-temporal","332335","5","861","16221","2.782","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","861","16221","0.2","0","4.5804e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","862","16462","2.808","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","862","16462","0.202","0","3.8849e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","865","16623","2.804","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","865","16623","0.203","0","3.5198e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","870","16852","2.807","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","870","16852","0.202","0","2.9222e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","872","17022","2.814","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","872","17022","0.204","0","4.1134e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","874","17200","2.696","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","874","17200","0.203","0","4.459e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","875","17352","2.676","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","875","17352","0.202","0","4.0184e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","877","17527","2.681","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","877","17527","0.202","0","3.872e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","878","17687","2.704","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","878","17687","0.202","0","4.2879e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","5","879","17851","2.699","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","879","17851","1.291","0","0.0000010524","pagerankDynamic"
"email-Eu-core-temporal","332335","5","880","18026","2.81","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","880","18026","1.068","0","0.000001377","pagerankDynamic"
"email-Eu-core-temporal","332335","5","881","18169","2.697","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","5","881","18169","0.203","0","3.9733e-7","pagerankDynamic"
